epoch,accuracy,loss,val_accuracy,val_loss
0,0.9653958678245544,0.08517434448003769,0.9787033200263977,0.051741939038038254
1,0.9806895852088928,0.04664519801735878,0.9825939536094666,0.04127010330557823
2,0.983087420463562,0.040373168885707855,0.9832157492637634,0.03976432606577873
3,0.9840534925460815,0.03786185756325722,0.9832349419593811,0.04007575660943985
4,0.984638512134552,0.036149777472019196,0.9844745397567749,0.03670117259025574
5,0.9852133393287659,0.034664783626794815,0.9854018092155457,0.03461896628141403
6,0.9856223464012146,0.0336197204887867,0.9846463203430176,0.03652912378311157
7,0.9858945608139038,0.03291486203670502,0.9857646226882935,0.03388933092355728
8,0.9860572218894958,0.03246751427650452,0.9854919910430908,0.034322548657655716
9,0.9858341813087463,0.03303505852818489,0.9851717948913574,0.035384401679039
